@relation "temp2.txt"

@attribute id string
@attribute tweet string
@attribute emotion string
@attribute class string

@data
"02154"," amelia entró en pánico ","sadness", "1: se infiere un bajo grado de tristeza"
"06009"," @username Deberías quitarme de tus notificaciones, sigo ofendida por lo de la peli, cambio y fuera","sadness", "1: se infiere un bajo grado de tristeza"
"02096"," Tengo que estudiar, qué paja. Hace tiempo no tenía que hacerlo, la vida era más linda 😥","sadness", "1: se infiere un bajo grado de tristeza"
"04708"," Asumo mis consecuencia y admito mis errores, esos que excusé, por nerviosismo, por temores.","sadness", "1: se infiere un bajo grado de tristeza"
"06407"," via @username : @username Amargado ... Solo era una pregunta y yaaa ... Deje la amargura ","sadness", "1: se infiere un bajo grado de tristeza"
"05896"," @username Donde estaba independiente es lo que te digo ! ! ! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años","sadness", "0: no se infieren niveles de tristeza"
"06117"," No quería q salte mi ex y retruquemos lo q faltò, lo q no hizo, etc etc etc 😔 , es un volver al pasado , y es triste. Puto día .","sadness", "3: se infiere un grado alto de tristeza"
"06012"," @username @username lo consideras alguien terrible,pero¿te das cuenta de lo que escribes?","sadness", "0: no se infieren niveles de tristeza"
"01708"," El cobarde muere muchas veces . El vals,nte solo una. - Willian Shakespeare","sadness", "0: no se infieren niveles de tristeza"
"03468"," @username Qué horror este engendro . Repulsivo . ","sadness", "1: se infiere un bajo grado de tristeza"
"06855"," El suicidio es el capítulo final de una novela más larga e incomprendida . No se resuelve diciéndole a alguien que no esté triste y ya . ","sadness", "2: se infiere un grado moderado de tristeza"
"00505"," @username tarde puti, ya perdió la gracia","sadness", "0: no se infieren niveles de tristeza"
"04417"," @username @username @username @username @username @username @username @username A pesar de que mueran ciclistas . ","sadness", "1: se infiere un bajo grado de tristeza"
"01372"," @username @username Biaaas ","sadness", "0: no se infieren niveles de tristeza"
"02919"," Me kga la verga que no cuelguen la llamada en cuanto digo adiós, súper incómodo tener que esperar a que cuelguen, gastan pila.","sadness", "0: no se infieren niveles de tristeza"
"02190"," EL PUEBLO DESPERTO, Y VA A CRISTALIZAR LA LIBERTAD DESTRUIDA POR TODOS AQUELLOS QUE LA JUSTICIA LOS ESPERA CON MUCHA ANSIEDAD T ANHELO","sadness", "0: no se infieren niveles de tristeza"
"06333"," ok ME CANSE D ESPERAR voy a dormir #enojada #estresada #indignada ","sadness", "2: se infiere un grado moderado de tristeza"
"05932"," Abril tiene prohibido quejarse conmigo . ","sadness", "0: no se infieren niveles de tristeza"
"03758"," Tengo re abandonado el tw ","sadness", "1: se infiere un bajo grado de tristeza"
"03049"," @username soldada ferida, #triste","sadness", "2: se infiere un grado moderado de tristeza"
"06596"," Al final de la oscuridad siempre se ve la luz ","sadness", "0: no se infieren niveles de tristeza"
"00351"," Es peligroso acostumbrarse a alguien ","sadness", "2: se infiere un grado moderado de tristeza"
"05394"," Campañon, Campañon!!! 🔴⚪⚫   Terrible lo de chaca💪💪💪💪","sadness", "0: no se infieren niveles de tristeza"
"04702"," Estoy cansado de siempre dar y no recibir nada a cambio . ","sadness", "3: se infiere un grado alto de tristeza"
"00502"," SIGO LLORANDO SANGRE POR EL SUICIDIO DE CHESTER ! ! ! WEY ! ! ! NO PUEDO ! ! ! ; ; ","sadness", "3: se infiere un grado alto de tristeza"
"04831"," @username Todas las partidas de worlds y trasnochado a clases 😢 ","sadness", "0: no se infieren niveles de tristeza"
"01058"," Me ahogo, necesito romper en llanto y no lo hago, porque no quiero, porque estoy cansada de las lágrimas, y más aún del dolor de cabeza","sadness", "3: se infiere un grado alto de tristeza"
"02397"," No sé cómo le haces para que no pueda durar enojada contigo más de num días ","sadness", "0: no se infieren niveles de tristeza"
"01109"," Algo que jamas habra en tecmilenio : elotero en la salida #Triste 😢 ","sadness", "1: se infiere un bajo grado de tristeza"
"00044"," Horrible es todo lo que te aferras y lo difícil que es soltar ","sadness", "3: se infiere un grado alto de tristeza"
"01670"," @username El título del libro es terrible y muchos de los planteamientos de Beck son ingenuos, pero me agradó esa parte.","sadness", "0: no se infieren niveles de tristeza"
"02684"," Terrible día pasé hoy 😊 ❤ ❤ ","sadness", "2: se infiere un grado moderado de tristeza"
"06238"," menos mal que me quedé en mi casa pq en cualquier momento me quedo pelada de tanta depresión ","sadness", "3: se infiere un grado alto de tristeza"
"06648"," Soy pesimista siempre, pero por los motivos que saramago casualmente, sin embargo creo que estamos a tiempo de recuperar espacio perdido.","sadness", "1: se infiere un bajo grado de tristeza"
"01488"," Pero y esa furia ? No te ajites te puede dar algo ! 🤔 😂 😂 ","sadness", "0: no se infieren niveles de tristeza"
"02706"," Fooaaa cansada de la misma mierda de siempre ❌ 🚫 ","sadness", "2: se infiere un grado moderado de tristeza"
"00099"," No importa en cuánta oscuridad está tu vida ... Dios siempre enviará personas para iluminarte . ","sadness", "0: no se infieren niveles de tristeza"
"01604"," @username buenas noches, donde podria levantar una queja de un equipaje dañado que no me quiere pagar @viajaVolaris? Tengo todas las pruebas!","sadness", "1: se infiere un bajo grado de tristeza"
"04569"," Extraño a mi azul ","sadness", "2: se infiere un grado moderado de tristeza"
"04594"," estoy aburrido me voy hacer una mascarilla ","sadness", "0: no se infieren niveles de tristeza"
"01709"," Estoy tan aburrido en estas vacaciones que soy capaz de irme a la mierda por ahí un par de días . Estoy viendo Colón entre rios . ","sadness", "1: se infiere un bajo grado de tristeza"
"06561"," Ya estoy en mi casa, ya le puedo llorar a @ChesterBe 😭","sadness", "2: se infiere un grado moderado de tristeza"
"05808"," Soy el terrible farsante oe ","sadness", "1: se infiere un bajo grado de tristeza"
"00185"," Que bien me hace hablar con gente que siempre estuvo y está conmigo a pesar de todo 😌 👏 🏻 ","sadness", "0: no se infieren niveles de tristeza"
"04206"," Ya se me pasó la pena ","sadness", "1: se infiere un bajo grado de tristeza"
"06210"," @username No es nio tan grave, no se le desea que se le descomponga la ducha ni a tu peor enemigo 💔","sadness", "1: se infiere un bajo grado de tristeza"
"06839"," @username Por tu culpa me he acordado del crush y #tristeza ","sadness", "2: se infiere un grado moderado de tristeza"
"00859"," Dichosas las niñas que no tienen las axilas manchadas jajaja 😟 ","sadness", "0: no se infieren niveles de tristeza"
"01976"," Mi abuelo es un peligro 😅 🎬 ","sadness", "0: no se infieren niveles de tristeza"
"04435"," Día tan re aburrido u_u ","sadness", "1: se infiere un bajo grado de tristeza"
"00429"," Detesto que me consuelen por pesar ","sadness", "3: se infiere un grado alto de tristeza"
"06762"," Crecí escuchando Linkin Park y verdaderamente hoy es un día trágico para la música en general #RIPChester Gracias por mi gran infancia ","sadness", "2: se infiere un grado moderado de tristeza"
"03720"," Ánimo ya mero es viernes, solo falta un día, no menos como cinco😂 #Copiado #Peña","sadness", "0: no se infieren niveles de tristeza"
